LA,LS,HR,Predicted,Z,Model_Season,Predict_Season
"(25,30]","(90,95]",35,63.22285999616351,-3.549473616461984,2016,2022
"(25,30]","(95,100]",274,437.2081183782855,-7.80544466126995,2016,2022
"(25,30]","(100,105]",860,1038.9493672717795,-5.551789301988975,2016,2022
"(25,30]","(105,110]",640,640.4962070720951,-0.019606707437983387,2016,2022
"(25,30]","(110,115]",94,92.64351216973655,0.14093160447847886,2016,2022
"(30,35]","(90,95]",43,73.5476429887316,-3.5619951739154883,2016,2022
"(30,35]","(95,100]",254,346.51332797686996,-4.969862029903576,2016,2022
"(30,35]","(100,105]",582,693.4309258383507,-4.231595393152452,2016,2022
"(30,35]","(105,110]",338,362.3567975939425,-1.2795344425035153,2016,2022
"(30,35]","(110,115]",61,64.89120772093084,-0.48304933263303834,2016,2022
"(35,40]","(90,95]",17,33.20689655812694,-2.812455862602373,2016,2022
"(35,40]","(95,100]",125,132.86206700431075,-0.6820814497913906,2016,2022
"(35,40]","(100,105]",190,238.32356925599242,-3.1302246509294047,2016,2022
"(35,40]","(105,110]",118,144.0483347573521,-2.1703303492604196,2016,2022
"(35,40]","(110,115]",14,14.382358041854422,-0.1008219704014961,2016,2022
"(40,45]","(90,95]",0,4.29921868708664,-2.0734557355021206,2016,2022
"(40,45]","(95,100]",11,22.589335555262664,-2.4384104403883846,2016,2022
"(40,45]","(100,105]",43,49.494042947000864,-0.9230786176206571,2016,2022
"(40,45]","(105,110]",29,35.67265523566813,-1.117200105216479,2016,2022
"(40,45]","(110,115]",2,5.158902966796612,-1.3907773398637941,2016,2022
"(15,20]","(90,95]",0,0.21195715045465788,-0.4603880433445876,2016,2023
"(15,20]","(95,100]",1,4.189265995742401,-1.5581948840331767,2016,2023
"(15,20]","(100,105]",30,60.85180769161511,-3.954976192599973,2016,2023
"(15,20]","(105,110]",98,206.59726339833225,-7.555384991419189,2016,2023
"(15,20]","(110,115]",83,109.4392372039067,-2.5273325603078747,2016,2023
"(20,25]","(90,95]",4,11.183907588081697,-2.1481467765692153,2016,2023
"(20,25]","(95,100]",76,135.24674444179882,-5.09449430720679,2016,2023
"(20,25]","(100,105]",494,727.4595494163325,-8.65580010438297,2016,2023
"(20,25]","(105,110]",705,822.3986407355832,-4.093755272406805,2016,2023
"(20,25]","(110,115]",203,201.07016924457125,0.13609601273402203,2016,2023
"(25,30]","(90,95]",35,67.2952012747911,-3.9368235262731726,2016,2023
"(25,30]","(95,100]",344,437.52228688945047,-4.4711066351228155,2016,2023
"(25,30]","(100,105]",946,1066.2833049606604,-3.683571021759633,2016,2023
"(25,30]","(105,110]",709,714.7196329411707,-0.21394409427228814,2016,2023
"(25,30]","(110,115]",118,116.25827090685813,0.16153575893596125,2016,2023
"(30,35]","(90,95]",57,83.37810203861447,-2.8888004392007063,2016,2023
"(30,35]","(95,100]",264,345.0353156019305,-4.362571455208035,2016,2023
"(30,35]","(100,105]",632,728.7186016678643,-3.582862001899148,2016,2023
"(30,35]","(105,110]",388,405.07336022296795,-0.8483052643045371,2016,2023
"(30,35]","(110,115]",53,54.154697207139314,-0.15690979298431676,2016,2023
"(35,40]","(90,95]",18,29.12245838072149,-2.0610416713538875,2016,2023
"(35,40]","(95,100]",106,136.13520875006557,-2.5827892694672046,2016,2023
"(35,40]","(100,105]",200,256.55342092895626,-3.5307744534193044,2016,2023
"(35,40]","(105,110]",138,162.3636676715279,-1.9120455776060254,2016,2023
"(35,40]","(110,115]",20,23.07299150498048,-0.6397486919680878,2016,2023
"(40,45]","(90,95]",3,4.677463979720256,-0.77561817520446,2016,2023
"(40,45]","(95,100]",21,22.532558138912176,-0.3228581163842235,2016,2023
"(40,45]","(100,105]",28,53.086172185997896,-3.4430528824355533,2016,2023
"(40,45]","(105,110]",37,43.9491291488856,-1.0482267685893472,2016,2023
"(40,45]","(110,115]",3,3.5196259106629784,-0.27697625924534475,2016,2023
"(15,20]","(90,95]",1,0.5193094160968702,0.6670409807348066,2017,2018
"(15,20]","(95,100]",2,4.459683580320001,-1.1647352489667946,2017,2018
"(15,20]","(100,105]",35,47.05033750328215,-1.7567818631272214,2017,2018
"(15,20]","(105,110]",100,142.28536829317022,-3.544949039463966,2017,2018
"(15,20]","(110,115]",56,79.5690381655604,-2.642225049168053,2017,2018
"(20,25]","(90,95]",5,13.145298344313296,-2.2465794013035167,2017,2018
"(20,25]","(95,100]",111,140.45539096632484,-2.485395943007526,2017,2018
"(20,25]","(100,105]",521,694.0690723307983,-6.569285240233507,2017,2018
"(20,25]","(105,110]",601,696.6184176871091,-3.6227976420008883,2017,2018
"(20,25]","(110,115]",146,150.99933535349666,-0.406841036603566,2017,2018
"(25,30]","(90,95]",55,72.64737996006681,-2.0704762751429833,2017,2018
"(25,30]","(95,100]",380,472.1175317127672,-4.239525273195069,2017,2018
"(25,30]","(100,105]",948,1089.4021061766173,-4.284121439373999,2017,2018
"(25,30]","(105,110]",551,564.8305198057706,-0.5819416289077733,2017,2018
"(25,30]","(110,115]",99,98.77254415361759,0.02288647903983097,2017,2018
"(30,35]","(90,95]",92,87.21455702698616,0.5124218682841905,2017,2018
"(30,35]","(95,100]",346,428.4974551041458,-3.985349635048987,2017,2018
"(30,35]","(100,105]",599,682.8084653130431,-3.2072915466735967,2017,2018
"(30,35]","(105,110]",311,326.61101457885684,-0.8638050047324423,2017,2018
"(30,35]","(110,115]",34,33.451208460102855,0.09488586080139326,2017,2018
"(35,40]","(90,95]",21,34.56464589860123,-2.3072380488009756,2017,2018
"(35,40]","(95,100]",123,164.36012096377993,-3.2261427057739165,2017,2018
"(35,40]","(100,105]",208,257.0174299386201,-3.05751959138981,2017,2018
"(35,40]","(105,110]",97,110.29445011789755,-1.2658829455785372,2017,2018
"(35,40]","(110,115]",9,10.32833986845357,-0.41332716320595875,2017,2018
"(40,45]","(90,95]",6,5.611051937190891,0.1641986070210456,2017,2018
"(40,45]","(95,100]",21,29.78730502040311,-1.6100527142678638,2017,2018
"(40,45]","(100,105]",35,49.24667104889896,-2.030135181302011,2017,2018
"(40,45]","(105,110]",16,20.387789148508134,-0.971763724532716,2017,2018
"(40,45]","(110,115]",1,2.438136177496807,-0.9210241801672132,2017,2018
"(15,20]","(90,95]",2,0.6711374115994891,1.6220877725314622,2017,2019
"(15,20]","(95,100]",5,6.687772104395659,-0.6526390740851096,2017,2019
"(15,20]","(100,105]",59,71.30228493680626,-1.4569144741036417,2017,2019
"(15,20]","(105,110]",190,229.40177701404653,-2.601461601902406,2017,2019
"(15,20]","(110,115]",102,111.7474345401604,-0.9220862513055592,2017,2019
"(20,25]","(90,95]",12,16.466942150717603,-1.1007884098814733,2017,2019
"(20,25]","(95,100]",177,167.5827584026937,0.7274598772599203,2017,2019
"(20,25]","(100,105]",752,796.1138272890768,-1.5634613695168431,2017,2019
"(20,25]","(105,110]",712,745.7184105562264,-1.2347517823048482,2017,2019
"(20,25]","(110,115]",201,201.88412006296693,-0.06222432101246826,2017,2019
